Python Memory Usage,Java Memory Usage
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,5176
0,38867
0,62345
27234,69723
39715,72771
39715,72660
39717,72679
39709,72744
39697,72813
39711,72842
39709,72822
39697,72828
39700,72868
39716,73178
39698,73162
39696,73177
39714,73172
39707,73163
39715,73162
39717,73212
39705,73240
39722,73225
39711,73207
39715,73225
39714,73245
39717,73224
39699,73213
39713,73210
39708,73245
39709,73211
39721,73230
39699,73239
39716,73242
39716,73242
39715,75288
39697,75293
39699,75274
39711,75284
39723,75278
39716,84030
39703,84023
39709,84016
39709,84031
39716,84023
39700,84023
39697,84030
39700,84025
39726,84030
39707,84023
39702,84030
39703,84025
39705,84024
39708,84032
39706,84001
39708,84021
39704,84024
39707,84002
39718,84002
39710,84012
39713,84030
39700,83997
39699,84014
39692,84022
39709,84039
39718,84029
39716,84025
39696,84024
39714,84019
39696,81014
39703,81014
39644,81005
39619,80980
39593,81009
39596,80967
39376,81019
39369,83041
39361,83033
39344,83048
39317,83144
39312,83120
39291,83103
39279,83127
39260,83129
39268,83120
39244,83130
39235,83138
39235,83139
39239,83121
39235,83131
39216,83128
39224,83151
39241,83156
39239,83150
39223,83142
39222,83135
39242,83157
39208,83142
39215,83160
39232,83149
39226,83168
39215,85221
39223,85195
39215,85207
39214,85202
39236,85195
39229,85201
39200,85208
39187,85213
39178,85174
39179,85214
39180,85199
39184,85210
39192,85186
39189,85186
39191,85217
39191,85185
39192,85193
39192,85212
39182,85210
39176,85207
39192,85188
39175,85207
39186,85233
39199,85190
39193,85199
39184,85191
39187,85190
39183,85216
39183,85198
39186,85216
39187,85191
39194,85190
39174,85220
39173,85207
39190,85223
39186,85219
39199,85223
39191,85233
39187,85225
39189,85209
39193,85222
39178,85216
39184,85200
39187,85207
39174,85212
39176,85209
39198,85218
39189,87223
39188,87267
39180,87294
39173,87294
39192,87306
39185,87319
39187,87312
39193,87298
39188,87315
39175,87286
39187,87291
39191,87297
39188,87327
39182,87333
39196,87336
39186,87326
39198,87294
39174,87296
39169,87286
39193,87323
39176,87336
39191,87296
39178,87319
39180,91506
39195,91509
39189,91498
39184,91499
39191,91478
39182,91506
39187,91499
39180,91499
39193,91479
39198,91516
39193,91490
39186,91511
39182,91479
39188,91504
39173,91482
39182,91494
39182,91499
39196,91480
39182,91491
39196,91500
39192,91500
39179,91509
39185,91532
39183,91529
39182,91494
39192,91514
39194,91513
39180,91508
39189,91494
39187,91527
39191,91500
39191,91493
39191,91523
39186,91490
39179,91514
39188,91532
39197,91511
39181,91506
