Python Memory Usage,Java Memory Usage
0,610589
0,0
0,54784
0,97658
0,127376
0,167749
0,187165
0,224994
0,233050
0,255522
0,331246
0,357860
0,385232
0,402246
0,417826
0,441856
0,486134
0,497692
0,509254
0,507850
0,516870
0,517124
0,542442
0,559404
0,568908
0,580146
0,585834
0,598924
0,637576
0,604668
0,642746
0,641978
0,643046
0,644896
0,664136
0,699935
0,743870
0,743864
0,743919
0,743910
0,743880
0,743902
0,743897
0,743922
0,741919
0,741902
0,741976
0,741948
0,741980
0,742023
0,742040
0,742040
0,742038
0,742057
0,742069
0,742053
0,741612
0,741628
0,741632
0,741648
0,741652
0,741674
0,741682
0,741676
0,741675
0,741678
0,735441
0,735452
0,735480
0,735476
0,735457
0,735474
0,735481
0,735482
0,735495
0,735485
0,735502
0,735518
0,736661
0,736622
0,736661
0,736650
0,736670
0,736654
0,736676
0,736662
0,736666
0,736684
0,736666
0,736679
0,736701
0,736713
0,736692
0,736718
0,736700
0,736693
0,736706
0,736704
0,736705
0,736742
0,736764
0,736793
0,736770
0,736790
0,736772
0,736824
0,736807
0,736822
0,736850
0,736864
0,736920
0,736904
0,736924
0,736916
0,736916
0,736960
0,736959
0,736942
0,736974
0,736978
0,736962
0,736956
0,736994
0,736975
0,736990
0,736976
0,737006
0,736975
0,736980
0,736984
0,737002
0,737003
0,736977
0,737008
0,736994
0,737004
0,737034
0,737036
0,737033
0,737029
0,737057
0,737034
0,737049
0,737078
0,737072
0,737087
0,737057
0,737085
0,737084
0,737086
0,737118
0,737078
0,737080
0,737127
0,737108
0,737129
0,737100
0,737114
0,737120
0,737120
0,737121
0,737142
0,737144
0,737184
0,737210
0,737214
0,737213
0,737220
0,737182
0,737207
0,737225
0,737224
0,737196
0,737218
0,737198
0,737212
0,737224
0,737225
0,737198
0,737201
0,737189
0,737195
0,737219
0,737230
0,737234
0,737222
0,737220
0,737226
0,737215
0,737241
0,737225
0,737225
0,737228
0,737254
0,737236
0,737225
0,737222
0,737224
0,737249
0,737232
0,737233
0,737262
0,737218
0,737240
0,737292
0,737291
0,737278
0,737317
0,737295
0,737310
0,737302
0,737302
0,737298
0,737312
0,737306
0,737323
0,737332
0,737350
0,737335
0,737344
0,737321
0,737321
0,737325
0,737319
0,737352
0,737351
0,737355
0,737346
0,737314
0,737340
0,737357
0,737336
0,737350
0,737357
0,737374
0,737357
0,737361
0,737361
0,737376
0,737385
0,737378
0,737384
0,737351
0,737379
0,737353
0,737383
0,737398
0,737383
0,737373
0,737378
0,737376
0,737402
0,737414
0,737389
0,737401
0,737406
0,737378
0,737414
0,737409
0,737394
0,737393
0,737380
0,737386
0,737414
0,737418
0,737390
0,737407
0,737391
0,737398
0,737402
0,737418
0,737413
0,737429
0,737442
0,737431
0,737404
0,737412
0,737412
0,737418
0,737442
0,737406
0,737418
0,737430
0,737396
0,737433
0,737421
0,737425
0,657328
0,653424
