Python Memory Usage,Java Memory Usage,Python CPU Usage,Java CPU Usage
0,38658,6.7,226.7
14795,141581,0,380.0
14786,210253,0,280.0
14761,327361,0,380.0
14746,353789,0,266.7
14761,405648,0,325.0
14728,433278,0,393.3
14761,471998,0,126.7
14612,566261,60.0,33.3
14614,589018,60.0,18.8
14598,622993,66.7,33.4
14613,623912,60.0,20.0
14620,624018,60.0,12.5
14602,624102,60.0,26.7
14582,624107,66.7,40.0
14563,624234,66.7,20.0
14590,624231,66.7,20.0
14570,623539,62.5,18.8
14613,622222,66.7,20.0
14592,622219,66.7,20.0
14611,622244,60.0,18.8
14591,624671,66.7,12.5
14575,624704,62.5,20.0
14610,624717,66.7,18.8
14588,624750,60.0,26.7
14591,624810,60.0,13.3
14583,624834,66.7,18.8
14613,626151,73.3,25.0
14587,626158,66.7,20.0
14569,626158,66.7,20.0
14610,626157,62.5,13.3
14597,626156,60.0,20.0
14617,626154,56.2,20.0
14619,626162,60.0,20.0
14615,626174,66.7,20.0
14597,626182,62.5,13.3
14592,626175,66.7,18.8
14603,626190,66.7,20.0
14609,626191,66.7,20.0
14603,626207,60.0,20.0
14615,626211,66.7,20.0
14618,626336,66.7,26.7
14592,626343,62.5,26.7
14597,626358,66.7,26.7
14563,626383,66.7,13.3
14563,626372,68.8,26.7
14597,626418,60.0,18.8
14602,626444,66.7,20.0
14604,626459,66.7,18.7
14613,626498,66.7,18.8
14569,626531,66.7,18.8
14591,626573,73.3,13.3
14614,626584,66.7,20.0
14610,626572,60.0,13.3
14577,626588,66.7,20.0
14588,626592,66.7,20.0
14613,626604,66.7,18.8
14619,626603,60.0,12.5
14613,626608,62.5,20.0
14570,626609,56.2,18.8
14592,626620,66.7,18.8
14618,626625,66.7,26.7
14604,626628,60.0,20.0
14604,626646,66.7,20.0
14576,626646,66.7,13.3
14587,626658,66.7,20.0
14581,626770,62.5,12.5
14576,626768,62.5,20.0
14597,626767,66.7,20.0
14576,626772,60.0,20.0
14597,626783,66.7,20.0
14588,626784,62.5,16.7
14609,626799,66.7,20.0
14591,626808,66.7,26.7
14584,626867,66.7,26.7
14597,626852,66.7,20.0
14617,626882,60.0,18.8
14588,626875,62.5,13.3
14564,626887,66.7,26.7
14617,626895,66.7,20.0
14590,626895,60.0,20.0
14596,626895,56.2,13.3
14610,626903,66.7,20.0
14615,626903,66.7,18.8
14613,626909,66.7,13.3
14598,626914,68.8,20.0
14570,626920,60.0,26.7
14619,626920,60.0,20.0
14563,626925,60.0,18.8
14562,626923,60.0,20.0
14619,626942,66.7,20.0
14591,626947,60.0,13.3
14597,626991,68.8,26.7
14570,626993,66.7,20.0
14564,626985,66.7,18.8
14583,627011,66.7,26.7
14597,626997,60.0,20.0
14615,627007,62.5,18.8
14617,627003,60.0,20.0
14603,627018,66.7,26.7
14570,627023,60.0,20.0
14614,627023,66.7,18.8
14609,627030,60.0,26.7
14592,627019,73.3,26.7
14613,627041,66.7,20.0
14570,627047,56.2,18.8
14577,627054,66.7,20.0
14618,627066,53.3,18.8
14619,627074,66.7,20.0
14563,627083,66.7,26.7
14619,627074,60.0,20.0
14563,627082,66.7,20.0
14589,627078,60.0,13.3
14613,627087,73.3,20.0
14615,627094,66.7,26.7
14618,627107,66.7,20.0
14563,627108,66.7,20.0
14583,627099,62.5,20.0
14616,627110,73.3,20.0
14591,627115,60.0,13.3
14597,627129,66.7,20.0
14564,627132,60.0,20.0
14604,627121,66.7,53.4
